,3,4,5,6,7,9,10,11,14,16,18,31,33,44,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Esteban Ocon,Max Verstappen,Lewis Hamilton,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,02:09.523,02:09.119,01:55.910,02:05.882,02:00.645,02:02.852,01:49.377,01:47.610,02:04.519,01:50.713,02:10.437,02:07.654,01:44.815,01:46.593,01:54.373,01:58.711,02:14.035,01:53.070
2,02:20.003,02:14.433,02:13.316,02:13.925,02:14.411,02:13.765,02:11.585,02:11.575,02:12.938,02:13.504,02:15.768,02:13.064,02:11.572,02:11.403,02:13.559,02:13.014,02:13.728,02:12.779
3,02:05.648,02:06.894,02:06.686,02:05.761,02:05.873,02:06.290,02:06.479,02:06.355,02:06.512,02:04.991,02:05.936,02:07.141,02:06.284,02:06.513,02:05.714,02:06.834,02:06.091,02:04.534
4,01:45.850,01:48.618,01:58.774,01:52.508,01:55.263,01:54.272,02:04.978,02:06.308,01:53.425,02:03.704,01:47.715,01:50.590,02:07.504,02:06.587,02:00.360,01:56.793,01:46.596,02:03.307
5,01:27.140,01:25.845,01:24.876,01:26.310,01:25.077,01:26.483,01:23.821,01:23.185,01:24.482,01:24.225,01:27.590,01:27.509,01:21.615,01:22.545,01:24.284,01:25.168,01:28.582,01:25.306
6,01:24.569,01:24.996,01:24.189,01:24.715,01:24.580,01:24.468,01:22.924,01:22.356,01:24.699,01:23.510,01:24.541,01:25.211,01:21.635,01:22.254,01:23.305,01:24.655,01:24.490,01:24.034
7,01:24.572,01:25.009,01:23.551,01:25.014,01:24.734,01:24.794,01:22.552,01:22.330,01:25.095,01:23.144,01:24.502,01:24.674,01:21.622,01:21.947,01:23.353,01:24.642,01:24.597,01:23.690
8,01:24.297,01:24.583,01:23.723,01:24.823,01:24.489,01:24.931,01:22.722,01:21.954,01:24.180,01:23.369,01:24.452,01:24.549,01:21.520,01:21.735,01:23.169,01:24.636,01:24.159,01:23.404
9,01:25.057,01:23.954,01:22.929,01:25.663,01:22.933,01:24.575,01:22.245,01:21.766,01:24.340,01:22.526,01:25.146,01:24.895,01:21.051,01:21.520,01:22.871,01:25.250,01:24.930,01:23.016
10,01:25.806,01:24.142,01:23.035,01:26.788,01:22.952,01:24.640,01:22.099,01:21.687,01:23.512,01:22.402,01:25.822,01:24.541,01:21.144,01:21.105,01:22.975,01:25.817,01:25.882,01:23.049
11,01:25.721,01:23.465,01:23.254,01:29.274,01:23.312,01:26.125,01:21.772,01:21.389,01:23.340,01:22.200,01:24.014,01:23.940,01:20.958,01:21.141,01:22.544,01:24.091,01:25.858,01:23.015
12,01:23.725,01:23.464,01:23.113,01:42.777,01:23.179,01:27.389,01:22.282,01:21.464,01:23.128,01:22.288,01:27.984,01:24.551,01:21.014,01:21.261,01:22.513,01:23.775,01:24.191,01:23.012
13,01:24.228,01:23.449,01:23.228,01:26.423,01:23.048,01:28.452,01:22.171,01:21.520,01:23.068,01:22.502,01:43.275,01:23.436,01:21.209,01:21.985,01:22.614,01:23.826,01:23.715,01:23.269
14,01:22.679,01:24.378,01:23.231,01:23.775,01:22.928,01:47.051,01:22.243,01:21.457,01:23.046,01:22.383,01:22.704,01:26.493,01:21.158,01:21.981,01:22.693,01:24.606,01:23.201,01:23.226
15,01:23.439,01:22.701,01:22.959,01:23.655,01:22.621,01:24.046,01:22.103,01:21.173,01:22.840,01:22.029,01:22.626,01:41.323,01:21.100,01:21.575,01:22.097,01:28.101,01:23.181,01:23.070
16,01:23.015,01:22.972,01:23.011,01:23.662,01:22.906,01:23.950,01:22.291,01:21.393,01:22.759,01:22.187,01:22.593,01:22.776,01:21.026,01:21.526,01:22.243,01:41.093,01:22.954,01:26.592
17,01:23.266,01:22.795,01:22.164,01:23.529,01:22.362,01:23.595,01:22.304,01:21.652,01:22.508,01:22.077,01:22.599,01:23.074,01:21.447,01:21.274,01:22.151,01:22.808,01:23.342,01:42.892
18,01:23.192,01:22.749,01:22.385,01:23.504,01:22.372,01:25.023,01:21.835,01:21.260,01:22.249,01:22.212,01:23.031,01:22.650,01:21.600,01:21.203,01:22.514,01:22.504,01:23.035,01:22.758
19,01:23.341,01:22.582,01:22.338,01:25.335,01:22.537,01:24.291,01:21.948,01:21.380,01:22.384,01:22.280,01:23.119,01:22.962,01:20.685,01:21.619,01:22.211,01:22.739,01:23.734,01:23.541
20,01:23.494,01:22.714,01:22.345,01:23.837,01:22.670,01:27.683,01:22.048,01:21.765,01:22.597,01:22.193,01:22.763,01:22.780,01:21.126,01:22.030,01:22.096,01:22.525,01:23.658,01:23.639
21,01:23.169,01:22.613,01:22.467,01:25.337,01:22.322,01:24.818,01:22.067,01:21.758,01:22.677,01:22.147,01:22.620,01:22.645,01:21.231,01:21.387,01:22.169,01:22.938,01:22.769,01:23.369
22,01:23.212,01:22.557,01:22.740,01:25.514,01:22.390,01:24.593,01:22.477,01:22.017,01:22.587,01:21.994,01:22.715,01:23.128,01:21.316,01:21.930,01:21.836,01:23.014,01:23.117,01:23.161
23,01:23.400,01:22.601,01:22.356,01:23.893,01:22.344,01:24.146,01:22.512,01:21.482,01:22.726,01:22.143,01:23.104,01:23.002,01:21.417,01:21.627,01:22.197,01:23.139,01:23.338,01:23.473
24,01:23.181,01:22.520,01:22.346,01:23.678,01:22.456,01:26.295,01:22.708,01:21.783,01:22.531,01:22.314,01:25.016,01:23.081,01:21.759,01:21.398,01:22.270,01:23.189,01:23.160,01:23.463
25,01:23.923,01:22.569,01:22.229,01:23.897,01:22.397,01:27.684,01:22.255,01:21.359,01:22.565,01:22.655,01:23.178,01:24.787,01:21.457,01:21.430,01:22.216,01:23.403,01:23.951,01:23.451
26,01:23.227,01:22.349,01:22.725,01:23.494,01:22.344,01:24.150,01:22.126,01:21.409,01:22.288,01:22.426,01:22.546,01:23.084,01:21.491,01:21.846,01:22.477,01:25.074,01:23.000,01:23.378
27,01:23.283,01:22.281,01:22.378,01:23.281,01:22.153,01:23.815,01:21.946,01:21.170,01:22.092,01:21.903,01:22.794,01:23.215,01:21.267,01:21.394,01:22.087,01:23.163,01:23.878,01:23.413
28,01:23.308,01:22.351,01:22.969,01:23.193,01:22.160,01:24.640,01:22.243,01:21.420,01:22.637,01:21.884,01:22.954,01:23.213,01:21.203,01:21.595,01:21.828,01:23.007,01:23.691,01:23.754
29,01:23.004,01:22.463,01:22.525,01:25.862,01:22.725,01:24.173,01:22.633,01:22.118,01:22.382,01:21.941,01:22.901,01:23.143,01:21.029,01:25.054,01:21.924,01:23.078,01:22.748,01:23.231
30,01:23.072,01:22.435,01:22.630,01:24.803,01:22.752,01:26.041,01:22.027,01:21.841,01:22.720,01:25.742,01:24.806,01:23.042,01:21.328,01:41.412,01:22.492,01:23.227,01:22.828,01:24.860
31,01:22.419,01:22.300,01:22.333,01:25.286,01:22.846,01:27.601,01:25.268,01:22.092,01:22.507,01:40.475,01:22.671,01:23.049,01:21.981,01:19.953,01:22.236,01:22.954,01:22.153,01:22.988
32,01:22.780,01:22.228,01:22.255,01:23.358,01:25.099,01:25.428,01:40.943,01:21.858,01:23.832,01:21.048,01:22.839,01:24.560,01:21.223,01:20.218,01:21.673,01:25.343,01:23.215,01:22.696
33,01:22.811,01:22.296,01:25.315,01:23.132,01:40.054,01:23.857,01:20.590,01:21.196,01:21.843,01:21.269,01:23.659,01:23.783,01:24.863,01:20.456,01:21.504,01:23.667,01:22.943,01:22.946
34,01:22.487,01:22.374,01:39.725,01:23.439,01:21.794,01:25.612,01:20.944,01:21.152,01:21.940,01:21.116,01:26.932,01:23.342,01:38.828,01:20.526,01:21.506,01:22.973,01:22.624,01:22.415
35,01:22.543,01:21.961,01:21.178,01:23.082,01:21.782,01:23.704,01:20.916,01:20.890,01:22.123,01:21.263,01:44.581,01:23.817,01:21.003,01:20.527,01:21.662,01:24.136,01:22.554,01:22.595
36,01:22.310,01:22.009,01:21.686,01:23.002,01:21.612,01:25.886,01:21.134,01:21.068,01:21.991,01:21.188,01:22.059,01:23.110,01:20.266,01:20.312,01:21.272,01:22.919,01:21.846,01:22.547
37,01:22.328,01:22.332,01:21.525,01:26.576,01:22.062,01:25.706,01:21.436,01:20.761,01:22.348,01:21.970,01:21.110,01:23.938,01:20.261,01:20.542,01:21.703,01:23.033,01:21.870,01:22.609
38,01:26.489,01:21.990,01:21.538,01:25.313,01:21.224,01:23.889,01:21.561,01:21.541,01:22.147,01:21.571,01:21.448,01:23.667,01:20.083,01:21.570,01:21.568,01:24.747,01:23.676,01:24.758
39,01:41.381,01:22.082,01:21.505,01:23.031,01:21.506,01:23.303,01:21.304,01:21.786,01:25.985,01:21.405,01:21.531,01:23.332,01:20.340,01:20.944,01:21.741,01:26.023,01:21.125,01:24.100
40,01:21.069,01:22.170,01:21.310,01:22.974,01:21.587,01:23.590,01:21.428,01:24.496,01:41.483,01:21.373,01:21.337,01:22.044,01:20.200,01:20.209,01:21.887,01:25.197,01:24.441,01:22.557
41,01:21.537,01:22.140,01:21.457,01:22.954,01:22.087,01:24.919,01:21.075,01:39.305,01:21.093,01:21.043,01:21.362,01:23.648,01:20.069,01:20.378,01:22.616,01:23.464,01:52.388,01:22.301
42,01:21.890,01:21.910,01:21.363,01:24.058,01:21.469,01:23.765,01:21.070,01:19.659,01:21.878,01:21.301,01:21.341,01:21.553,01:20.025,01:20.412,01:25.413,01:23.395,01:20.199,01:21.974
43,01:23.252,01:21.920,01:21.552,01:23.281,01:21.402,01:25.515,01:21.022,01:20.152,01:20.935,01:21.071,01:24.231,01:22.118,01:19.989,01:20.209,01:39.931,01:22.848,01:20.213,01:22.169
44,01:21.415,01:25.402,01:21.799,01:22.981,01:21.575,01:24.263,01:21.454,01:19.712,01:21.026,01:21.730,01:21.868,01:21.886,01:20.356,01:20.965,01:21.137,01:22.646,01:20.049,01:23.752
45,01:21.171,01:40.837,01:21.467,01:23.100,01:21.482,01:26.742,01:20.967,01:19.840,01:21.501,01:21.448,01:21.515,01:21.772,01:19.846,01:19.834,01:20.898,01:22.690,01:20.747,01:22.160
46,01:21.158,01:20.803,01:21.206,01:25.266,01:21.415,01:23.851,01:21.230,01:19.949,01:21.530,01:21.595,01:21.783,01:22.847,01:20.180,01:20.683,01:20.983,01:22.362,01:19.761,01:22.599
47,01:21.350,01:21.003,01:21.787,01:25.860,01:21.699,01:24.914,01:21.345,01:21.324,01:21.839,01:21.613,01:21.681,01:21.866,01:20.211,01:20.970,01:20.986,01:22.441,01:20.514,01:24.172
48,01:21.414,01:21.067,01:21.399,01:24.002,01:21.760,01:27.144,01:21.491,01:20.552,01:23.159,01:22.013,01:21.659,01:21.879,01:20.557,01:20.419,01:21.481,01:22.842,01:20.952,01:22.539
49,01:21.845,01:21.033,01:21.326,01:26.713,01:21.420,01:24.883,01:21.651,01:19.468,01:21.197,01:21.627,01:22.036,01:22.330,01:19.921,01:20.672,01:21.448,01:25.018,01:21.260,01:22.348
50,01:21.441,01:20.880,01:21.319,01:41.487,01:21.289,01:23.914,01:21.875,01:20.188,01:21.160,01:21.918,01:21.930,01:21.959,01:20.877,01:20.461,01:21.066,01:22.368,01:20.545,01:22.042
51,01:21.587,01:21.129,01:21.139,01:21.607,01:21.308,01:25.839,01:20.999,01:19.675,01:20.814,01:21.508,01:22.494,01:22.102,01:20.406,01:20.111,01:20.805,01:22.582,01:21.314,01:21.998
52,01:21.831,01:20.860,01:21.291,01:22.244,01:21.346,01:23.914,01:21.123,01:19.890,01:20.863,01:22.030,01:22.971,01:21.614,01:18.999,01:20.224,01:20.927,01:23.024,01:21.848,01:21.925
53,01:21.933,01:20.806,01:20.993,01:21.645,01:21.045,01:26.870,01:20.974,01:19.686,01:20.888,01:22.188,01:26.305,01:21.745,01:20.231,01:20.130,01:21.195,01:26.353,01:22.228,01:21.978
54,01:21.939,01:20.840,01:21.263,01:21.631,01:21.186,01:24.483,01:20.943,01:19.882,01:20.711,01:22.025,01:23.135,01:21.733,01:20.045,01:20.628,01:22.293,01:23.159,01:22.038,01:21.883
55,01:21.866,01:21.033,01:21.524,01:21.713,01:23.650,01:24.033,01:20.902,01:19.643,01:21.062,01:21.215,01:22.379,01:21.725,01:20.078,01:20.281,01:21.213,01:25.014,01:21.488,01:21.922
56,01:22.016,01:20.904,01:21.688,01:21.625,01:21.365,01:27.951,01:20.992,01:19.960,01:21.165,01:21.612,01:22.003,01:22.001,01:19.988,01:20.577,01:21.292,01:23.589,01:21.829,01:22.007
57,01:22.026,01:20.964,01:21.419,01:21.575,01:21.207,01:25.761,01:20.760,01:20.309,01:21.542,01:23.770,01:21.861,01:21.657,01:20.039,01:21.141,01:20.980,01:22.794,01:22.037,01:21.905
58,01:22.051,01:20.791,01:23.732,01:21.867,01:21.265,01:28.202,01:20.796,01:20.151,01:21.360,01:21.404,01:21.801,01:21.445,01:19.839,01:20.427,01:20.993,01:24.847,01:21.990,01:21.827
59,01:22.712,01:20.825,01:21.908,01:22.320,01:21.662,01:44.484,01:21.321,01:20.398,01:21.061,01:21.278,01:21.506,01:22.082,01:20.249,01:20.727,01:20.648,01:25.037,01:23.225,01:21.938
60,01:21.976,01:21.306,01:21.803,01:21.974,01:21.534,01:22.469,01:22.111,01:20.406,01:21.331,01:21.342,01:21.681,01:21.929,01:20.413,01:20.749,01:20.575,01:24.763,01:23.797,01:21.744
61,01:21.804,01:24.415,01:21.421,01:21.700,01:21.498,01:21.402,01:21.335,01:20.878,01:21.259,01:21.689,01:20.930,01:21.935,01:20.287,01:20.961,01:20.919,01:22.016,01:22.889,01:21.826
62,01:21.512,01:21.137,01:20.931,01:21.695,01:20.878,01:22.079,01:20.920,01:20.536,01:21.027,01:20.936,01:23.786,01:21.805,01:20.340,01:20.220,01:20.403,01:22.752,01:22.045,01:21.681
63,01:21.418,01:20.906,01:20.606,01:21.624,01:20.713,01:22.487,01:21.109,01:20.091,01:21.201,01:20.665,01:21.133,01:25.559,01:19.825,01:19.981,01:20.081,01:28.701,01:23.135,01:21.703
64,01:21.792,01:21.279,01:20.807,01:21.568,01:20.830,01:22.172,01:21.105,01:20.395,01:24.494,01:21.098,01:21.472,01:21.770,01:19.704,01:20.330,01:20.239,01:22.981,01:42.702,01:22.017
65,01:21.493,01:20.925,01:21.016,01:21.677,01:21.180,01:22.449,01:20.899,01:21.119,01:21.222,01:21.196,01:21.463,01:21.686,01:19.210,01:20.320,01:20.546,01:22.433,01:19.829,01:21.732
66,01:21.600,01:21.234,01:20.993,01:21.546,01:21.380,01:22.458,01:20.510,01:19.936,01:20.936,01:21.193,01:21.216,01:21.561,01:20.303,01:19.820,01:20.613,01:22.320,01:19.941,01:21.586
67,01:21.647,01:20.617,01:20.893,01:21.550,01:21.167,01:23.050,01:20.758,01:19.890,01:20.975,01:21.035,01:21.549,01:21.348,01:23.083,01:20.127,01:20.989,01:22.073,01:27.069,01:21.669
68,01:21.578,01:21.143,01:20.995,01:22.126,01:21.139,01:22.784,01:20.640,01:19.889,01:20.836,01:21.111,01:21.241,01:21.710,01:21.109,01:20.430,01:22.018,01:23.468,01:49.327,01:21.523
69,01:21.550,01:20.784,01:20.835,01:21.682,01:20.807,,01:20.892,01:19.846,01:20.841,01:21.285,01:21.287,01:21.391,01:19.360,01:20.236,01:29.344,01:24.096,01:17.774,01:21.692
70,01:22.210,01:21.076,01:20.460,,01:20.986,,01:20.878,01:20.183,01:20.844,01:21.478,,01:23.008,01:20.414,01:20.319,01:23.597,,,01:22.506
71,,,,,,,01:21.487,01:21.150,,01:22.440,,,01:20.502,01:20.772,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,3,Daniel Ricciardo,,,,,,,,,,,,,,,
,,4,Lando Norris,,,,,,,,,,,,,,,
,,5,Sebastian Vettel,,,,,,,,,,,,,,,
,,6,Nicholas Latifi,,,,,,,,,,,,,,,
,,7,Kimi Räikkönen,,,,,,,,,,,,,,,
,,9,Nikita Mazepin,,,,,,,,,,,,,,,
,,10,Pierre Gasly,,,,,,,,,,,,,,,
,,11,Sergio Pérez,,,,,,,,,,,,,,,
,,14,Fernando Alonso,,,,,,,,,,,,,,,
,,16,Charles Leclerc,,,,,,,,,,,,,,,
,,18,Lance Stroll,,,,,,,,,,,,,,,
,,31,Esteban Ocon,,,,,,,,,,,,,,,
,,33,Max Verstappen,,,,,,,,,,,,,,,
,,44,Lewis Hamilton,,,,,,,,,,,,,,,
,,55,Carlos Sainz,,,,,,,,,,,,,,,
,,63,George Russell,,,,,,,,,,,,,,,
,,77,Valtteri Bottas,,,,,,,,,,,,,,,
,,99,Antonio Giovinazzi,,,,,,,,,,,,,,,