,3,4,5,6,7,9,10,11,14,16,18,22,31,33,44,47,55,63,77,99
,Daniel Ricciardo,Lando Norris,Sebastian Vettel,Nicholas Latifi,Kimi Räikkönen,Nikita Mazepin,Pierre Gasly,Sergio Pérez,Fernando Alonso,Charles Leclerc,Lance Stroll,Yuki Tsunoda,Esteban Ocon,Max Verstappen,Lewis Hamilton,Mick Schumacher,Carlos Sainz,George Russell,Valtteri Bottas,Antonio Giovinazzi
1,01:19.085,01:14.772,01:19.760,01:55.792,01:20.271,01:21.215,02:03.661,01:15.588,01:18.154,01:20.376,01:17.559,01:19.228,01:20.716,01:12.767,01:13.718,01:21.602,01:19.536,01:18.529,01:16.145,01:23.170
2,01:12.863,01:11.113,01:13.886,01:33.471,01:13.895,01:14.069,,01:11.136,01:12.211,01:34.842,01:11.745,01:13.388,01:14.030,01:10.031,01:10.511,01:14.258,01:13.640,01:12.909,01:11.634,01:13.034
3,01:12.114,01:10.768,01:12.430,01:10.589,01:12.626,01:13.473,,01:10.891,01:12.052,01:10.361,01:11.486,01:12.095,01:12.752,01:09.834,01:10.045,01:14.098,01:12.358,01:12.054,01:11.394,01:13.004
4,01:11.919,01:10.731,01:11.809,01:10.789,01:11.665,01:12.839,,01:10.517,01:11.424,01:10.686,01:11.308,01:11.987,01:11.742,01:09.606,01:09.945,01:12.273,01:11.914,01:11.764,01:10.555,01:11.342
5,01:11.310,01:10.642,01:11.844,01:15.037,01:12.003,01:11.994,,01:10.836,01:11.403,01:10.429,01:11.206,01:11.674,01:11.803,01:09.666,01:09.865,01:12.183,01:11.698,01:11.423,01:10.541,01:11.994
6,01:11.518,01:10.971,01:11.749,01:11.681,01:11.790,01:12.170,,01:10.817,01:11.379,01:10.576,01:11.251,01:11.431,01:11.972,01:09.855,01:10.428,01:12.279,01:11.498,01:11.489,01:10.935,01:11.709
7,01:16.008,01:10.987,01:12.105,01:11.794,01:11.965,01:12.229,,01:10.913,01:11.555,01:10.567,01:11.650,01:11.304,01:12.313,01:09.872,01:09.846,01:12.253,01:12.116,01:11.805,01:11.229,01:11.600
8,01:11.900,01:11.203,01:11.539,01:11.802,01:11.785,01:12.528,,01:11.295,01:11.643,01:10.496,01:11.553,01:11.602,01:12.055,01:09.885,01:09.921,01:12.493,01:11.252,01:11.541,01:10.883,01:12.059
9,01:11.895,01:11.146,01:11.845,01:11.483,01:11.895,01:12.227,,01:11.141,01:11.645,01:10.584,01:11.460,01:11.617,01:12.110,01:09.747,01:09.923,01:12.490,01:11.558,01:11.669,01:10.981,01:12.268
10,01:11.472,01:12.782,01:11.210,01:13.742,01:11.345,01:12.539,,01:10.776,01:11.736,01:10.676,01:11.384,01:11.426,01:11.414,01:09.887,01:09.752,01:12.627,01:11.416,01:11.423,01:11.425,01:11.804
11,01:11.282,01:12.985,01:11.315,01:15.167,01:11.216,01:12.247,,01:10.726,01:11.727,01:10.626,01:11.903,01:11.486,01:11.414,01:09.901,01:10.079,01:12.566,01:11.406,01:11.757,01:11.214,01:11.377
12,01:11.782,01:11.654,01:11.542,01:11.946,01:11.590,01:12.513,,01:10.271,01:11.981,01:11.821,01:12.322,01:11.822,01:11.726,01:09.888,01:09.795,01:12.518,01:11.571,01:11.890,01:10.924,01:11.495
13,01:11.456,01:11.209,01:11.469,01:11.941,01:11.394,01:12.594,,01:10.063,01:11.730,01:11.135,01:11.908,01:11.630,01:11.462,01:09.747,01:09.695,01:13.210,01:11.756,01:11.657,01:10.632,01:11.689
14,01:11.350,01:11.127,01:11.449,01:11.864,01:11.456,01:13.407,,01:10.234,01:11.865,01:10.825,01:11.806,01:11.614,01:11.541,01:09.611,01:09.693,01:12.524,01:11.448,01:11.555,01:10.122,01:11.900
15,01:11.564,01:11.010,01:11.748,01:11.565,01:11.545,01:12.691,,01:10.063,01:11.808,01:10.789,01:11.643,01:11.719,01:11.775,01:09.713,01:10.079,01:12.412,01:11.868,01:11.614,01:10.066,01:11.700
16,01:11.478,01:11.046,01:11.814,01:11.499,01:11.857,01:12.308,,01:10.249,01:11.620,01:10.759,01:11.567,01:11.635,01:11.719,01:09.652,01:09.938,01:12.431,01:11.523,01:11.543,01:10.163,01:11.577
17,01:11.994,01:10.832,01:11.961,01:11.690,01:11.763,01:12.459,,01:10.229,01:11.550,01:10.952,01:11.614,01:11.818,01:11.808,01:09.737,01:09.892,01:12.513,01:11.869,01:12.000,01:10.371,01:11.371
18,01:11.761,01:10.917,01:11.494,01:11.705,01:11.660,01:12.659,,01:10.207,01:11.549,01:11.163,01:11.649,01:11.723,01:11.915,01:09.825,01:10.212,01:12.272,01:11.551,01:11.821,01:10.319,01:12.070
19,01:11.825,01:10.733,01:11.681,01:11.525,01:11.772,01:13.208,,01:10.349,01:11.550,01:10.900,01:11.636,01:11.753,01:11.750,01:10.014,01:10.267,01:13.229,01:11.828,01:11.565,01:10.372,01:11.711
20,01:11.348,01:10.914,01:11.218,01:11.304,01:11.467,01:12.431,,01:10.454,01:11.308,01:10.849,01:11.450,01:11.495,01:11.390,01:09.898,01:09.866,01:12.366,01:11.518,01:11.471,01:10.192,01:11.669
21,01:11.478,01:10.858,01:11.436,01:11.363,01:11.470,01:16.100,,01:10.355,01:11.566,01:11.216,01:11.568,01:11.247,01:11.460,01:09.585,01:09.613,01:12.694,01:11.277,01:11.189,01:09.921,01:11.644
22,01:11.518,01:10.724,01:11.305,01:11.616,01:11.349,01:31.879,,01:10.218,01:11.387,01:10.777,01:11.401,01:11.220,01:11.428,01:09.564,01:09.877,01:11.455,01:11.138,01:11.204,01:09.846,01:12.527
23,01:10.943,01:10.789,01:11.133,01:11.808,01:11.038,01:12.879,,01:10.179,01:11.274,01:10.880,01:11.322,01:11.060,01:11.343,01:09.760,01:09.767,01:13.658,01:11.210,01:11.145,01:10.362,01:15.053
24,01:11.606,01:10.826,01:11.319,01:11.773,01:11.394,01:12.036,,01:10.598,01:10.998,01:10.899,01:11.247,01:11.442,01:12.535,01:09.930,01:09.904,01:11.861,01:11.182,01:11.228,01:10.270,01:27.861
25,01:11.110,01:10.907,01:11.542,01:15.151,01:11.261,01:11.702,,01:10.804,01:11.441,01:11.015,01:11.355,01:11.554,01:11.288,01:09.940,01:10.594,01:14.178,01:11.581,01:14.570,01:10.199,01:11.172
26,01:11.111,01:10.933,01:11.745,01:28.392,01:11.559,01:11.943,,01:15.077,01:11.373,01:10.903,01:11.669,01:14.591,01:11.499,01:09.852,01:09.635,01:12.830,01:11.780,01:46.305,01:10.561,01:10.451
27,01:11.237,01:10.865,01:14.363,01:14.562,01:11.112,01:11.804,,01:28.279,01:15.012,01:10.916,01:11.505,01:26.992,01:11.312,01:09.852,01:10.234,01:11.819,01:10.371,01:52.255,01:12.657,01:10.374
28,01:11.026,01:10.892,01:26.773,01:14.987,01:11.173,01:11.708,,01:09.651,01:27.076,01:11.108,01:14.631,01:10.925,01:12.407,01:10.257,01:13.529,01:11.673,01:10.609,01:10.499,01:26.779,01:10.522
29,01:11.180,01:11.096,01:09.978,01:10.534,01:11.054,01:11.417,,01:09.602,01:10.717,01:10.968,01:26.477,01:10.719,01:11.156,01:13.454,01:25.983,01:11.831,01:10.080,01:10.596,01:09.071,01:10.295
30,01:11.174,01:11.068,01:10.233,01:10.233,01:11.206,01:11.611,,01:09.619,01:10.309,01:10.979,01:10.409,01:10.478,01:10.967,01:25.881,01:09.066,01:12.755,01:09.977,01:10.736,01:09.363,01:10.196
31,01:11.064,01:14.670,01:10.344,01:10.426,01:10.867,01:11.479,,01:09.667,01:09.788,01:10.946,01:10.188,01:10.192,01:10.919,01:09.041,01:09.145,01:11.826,01:09.948,01:11.425,01:09.237,01:10.306
32,01:11.911,01:29.165,01:10.480,01:10.145,01:12.440,01:12.583,,01:09.197,01:09.911,01:11.846,01:09.787,01:10.102,01:10.810,01:09.166,01:09.287,01:12.703,01:09.716,01:11.512,01:09.277,01:10.219
33,01:11.518,01:10.958,01:10.396,01:10.197,01:11.203,01:12.220,,01:09.593,01:10.449,01:11.664,01:10.153,01:10.306,01:11.091,01:08.992,01:08.362,01:14.883,01:09.911,01:11.009,01:08.782,01:10.133
34,01:10.957,01:10.016,01:10.064,01:10.104,01:10.703,01:11.297,,01:09.174,01:10.390,01:10.894,01:10.300,01:10.021,01:11.153,01:08.782,01:09.132,01:29.635,01:09.830,01:10.878,01:09.126,01:10.080
35,01:10.943,01:09.733,01:09.921,01:10.324,01:10.851,01:11.324,,01:09.284,01:10.461,01:10.985,01:10.510,01:09.948,01:11.096,01:08.670,01:08.710,01:10.371,01:10.020,01:11.073,01:09.592,01:10.250
36,01:11.081,01:09.750,01:10.299,01:11.820,01:14.571,01:11.258,,01:09.113,01:10.315,01:11.169,01:10.262,01:10.171,01:14.260,01:08.731,01:08.477,01:10.394,01:09.996,01:18.351,01:09.156,01:11.549
37,01:10.519,01:09.737,01:10.120,01:12.193,01:27.223,01:11.156,,01:09.029,01:10.042,01:13.991,01:09.881,01:10.258,01:26.363,01:08.711,01:08.517,01:10.553,01:10.107,,01:09.345,01:10.040
38,01:10.263,01:09.758,01:10.173,01:11.786,01:10.489,01:11.172,,01:08.822,01:10.168,01:26.500,01:10.248,01:10.007,01:09.756,01:08.669,01:08.764,01:10.997,01:10.073,,01:08.876,01:11.627
39,01:10.456,01:09.795,01:11.380,01:14.913,01:09.826,01:10.951,,01:09.009,01:10.088,01:09.344,01:09.966,01:10.015,01:09.698,01:08.792,01:08.922,01:10.670,01:10.109,,01:08.799,01:09.723
40,01:10.842,01:09.742,01:10.113,01:10.463,01:09.496,01:11.075,,01:08.942,01:10.084,01:09.263,01:10.056,01:11.729,01:09.787,01:08.541,01:08.792,01:10.759,01:10.256,,01:08.772,01:09.908
41,01:14.260,01:09.915,01:11.538,01:12.257,01:10.745,01:13.241,,01:08.866,01:11.059,01:08.833,01:10.065,01:09.650,01:09.688,01:08.594,01:08.553,01:10.928,01:14.124,,01:08.904,01:09.866
42,01:28.262,01:10.024,01:10.205,01:10.612,01:10.342,01:11.812,,01:08.702,01:10.675,01:09.368,01:11.535,01:11.564,01:10.079,01:08.445,01:08.482,01:10.804,01:26.680,,01:08.874,01:09.827
43,01:09.998,01:09.761,01:10.033,01:10.621,01:10.054,01:11.458,,01:08.812,01:11.511,01:09.196,01:09.811,01:10.268,01:09.960,01:08.761,01:08.880,01:10.845,01:09.583,,01:08.619,01:09.922
44,01:09.721,01:10.028,01:10.202,01:10.427,01:09.921,01:11.283,,01:08.860,01:10.346,01:09.561,01:12.188,01:10.395,01:09.840,01:08.399,01:08.633,01:10.807,01:09.084,,01:09.104,01:09.976
45,01:09.305,01:09.986,01:10.028,01:11.953,01:09.811,01:11.370,,01:08.926,01:10.237,01:09.047,01:10.361,01:10.029,01:09.598,01:08.523,01:09.365,01:11.040,01:11.303,,01:09.460,01:11.260
46,01:09.600,01:09.859,01:10.083,01:11.662,01:10.047,01:12.175,,01:09.181,01:10.175,01:09.299,01:10.108,01:10.095,01:10.177,01:08.591,01:08.764,01:11.217,01:09.384,,01:09.350,01:10.030
47,01:09.665,01:09.334,01:10.193,01:10.556,01:10.049,01:11.760,,01:09.168,01:10.278,01:09.457,01:10.107,01:10.636,01:10.045,01:08.459,01:08.837,01:11.135,01:09.365,,01:09.603,01:10.171
48,01:09.505,01:09.493,01:10.121,01:10.283,01:10.051,01:12.311,,01:09.195,01:09.921,01:09.518,01:10.085,01:10.046,01:09.990,01:08.710,01:08.888,01:13.216,01:09.154,,01:09.060,01:10.052
49,01:10.046,01:09.778,01:11.225,01:10.426,01:09.923,01:11.892,,01:09.081,01:10.031,01:09.411,01:10.391,01:10.144,01:09.985,01:08.942,01:08.934,01:12.573,01:09.091,,01:09.104,01:10.044
50,01:09.846,01:09.359,01:10.648,01:10.793,01:10.008,01:13.478,,01:09.227,01:10.047,01:09.844,01:09.959,01:10.033,01:09.947,01:08.536,01:08.701,01:11.058,01:09.262,,01:09.254,01:10.286
51,01:09.527,01:09.427,01:10.202,01:10.500,01:09.724,01:12.360,,01:09.394,01:10.097,01:09.968,01:10.126,01:10.161,01:09.880,01:08.728,01:09.481,01:12.923,01:09.311,,01:09.350,01:10.069
52,01:09.950,01:09.561,01:10.053,01:10.281,01:09.934,01:11.949,,01:09.441,01:10.023,01:10.244,01:10.235,01:10.195,01:10.085,01:08.726,01:08.992,01:12.727,01:09.156,,01:09.328,01:09.877
53,01:09.662,01:09.285,01:10.165,01:10.477,01:09.976,01:13.812,,01:09.565,01:10.531,01:10.368,01:10.050,01:10.420,01:11.492,01:09.170,01:09.263,01:10.691,01:08.636,,01:09.605,01:10.037
54,01:10.057,01:11.193,01:10.158,01:10.283,01:10.010,01:16.211,,01:13.230,01:11.037,01:09.486,01:10.265,01:11.456,01:11.675,01:08.825,01:09.180,01:10.169,01:08.943,,01:09.497,01:10.322
55,01:09.793,01:09.613,01:10.690,01:10.266,01:10.121,01:15.471,,01:24.482,01:10.604,01:08.874,01:09.911,01:10.333,01:10.158,01:08.695,01:09.023,01:10.145,01:09.113,,01:09.612,01:10.718
56,01:09.804,01:09.207,01:10.344,01:10.226,01:09.872,01:12.978,,01:08.049,01:10.052,01:09.420,01:09.903,01:10.249,01:10.359,01:08.849,01:08.969,01:10.175,01:08.849,,01:09.529,01:10.203
57,01:10.038,01:09.206,01:09.983,01:10.643,01:09.128,01:12.101,,01:07.894,01:09.762,01:09.130,01:09.877,01:09.873,01:09.767,01:08.787,01:09.001,01:10.005,01:08.945,,01:10.553,01:11.176
58,01:09.305,01:09.171,01:09.936,01:11.105,01:09.604,01:12.055,,01:08.203,01:10.304,01:09.816,01:09.986,01:09.931,01:09.922,01:08.609,01:09.424,01:10.211,01:09.028,,01:09.862,01:11.452
59,01:09.853,01:09.315,01:10.103,01:10.967,01:09.987,01:12.238,,01:08.492,01:09.837,01:09.089,01:11.090,01:09.901,01:10.298,01:08.809,01:09.208,01:10.256,01:09.427,,01:09.628,01:11.769
60,01:10.241,01:09.224,01:10.199,01:10.567,01:10.083,01:12.698,,01:08.567,01:10.026,01:08.954,01:10.365,01:09.842,01:10.399,01:08.753,01:09.394,01:10.485,01:09.256,,01:09.559,01:10.636
61,01:09.538,01:09.334,01:10.120,01:11.038,01:10.054,01:12.006,,01:09.342,01:09.749,01:09.010,01:09.907,01:09.877,01:09.992,01:08.742,01:09.300,01:12.079,01:09.255,,01:09.717,01:10.305
62,01:09.620,01:09.161,01:10.307,01:11.263,01:09.930,01:11.943,,01:07.987,01:09.894,01:08.925,01:09.853,01:09.978,01:10.107,01:09.148,01:09.587,01:10.078,01:09.476,,01:09.740,01:11.768
63,01:09.567,01:09.057,01:09.946,01:11.147,01:09.552,01:13.299,,01:08.741,01:09.801,01:08.871,01:09.942,01:09.968,01:09.960,01:08.881,01:09.412,01:10.541,01:09.181,,01:09.524,01:10.508
64,01:09.751,01:09.132,01:09.821,01:10.648,01:09.813,01:12.136,,01:08.517,01:10.115,01:08.738,01:09.922,01:09.762,01:09.805,01:08.978,01:09.383,01:10.549,01:08.609,,01:09.398,01:12.123
65,01:10.558,01:08.903,01:10.068,01:11.569,01:10.153,01:12.794,,01:09.323,01:09.903,01:08.880,01:09.952,01:09.806,01:09.772,01:08.841,01:10.602,01:10.629,01:09.184,,01:09.824,01:10.256
66,01:11.289,01:09.045,01:10.273,01:11.487,01:10.365,01:13.097,,01:08.583,01:10.073,01:08.847,01:10.124,01:10.069,01:10.001,01:08.772,01:09.787,01:10.175,01:09.010,,01:09.707,01:10.615
67,01:10.322,01:09.175,01:11.239,01:10.363,01:09.250,01:11.621,,01:08.940,01:10.003,01:08.969,01:10.080,01:09.791,01:11.088,01:09.282,01:09.765,01:10.184,01:09.102,,01:09.851,01:10.514
68,01:10.173,01:09.511,01:10.913,01:10.834,01:09.984,01:11.876,,01:08.282,01:09.957,01:08.792,01:10.050,01:09.821,01:09.832,01:08.017,01:09.454,01:12.874,01:08.928,,01:10.285,01:10.629
69,01:11.922,01:09.318,01:12.548,,01:09.956,,,01:08.585,01:10.678,01:09.356,01:11.845,01:10.426,01:09.747,01:09.167,01:13.177,01:13.200,01:08.956,,01:10.236,01:10.427
70,01:10.467,01:09.082,01:09.881,,01:09.516,,,01:08.885,01:10.634,01:08.811,01:09.993,01:10.631,01:09.576,01:09.301,01:27.391,,01:09.353,,01:09.914,01:10.636
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,3,Daniel Ricciardo,,,,,,,,,,,,,,
,,,,,4,Lando Norris,,,,,,,,,,,,,,
,,,,,5,Sebastian Vettel,,,,,,,,,,,,,,
,,,,,6,Nicholas Latifi,,,,,,,,,,,,,,
,,,,,7,Kimi Räikkönen,,,,,,,,,,,,,,
,,,,,9,Nikita Mazepin,,,,,,,,,,,,,,
,,,,,10,Pierre Gasly,,,,,,,,,,,,,,
,,,,,11,Sergio Pérez,,,,,,,,,,,,,,
,,,,,14,Fernando Alonso,,,,,,,,,,,,,,
,,,,,16,Charles Leclerc,,,,,,,,,,,,,,
,,,,,18,Lance Stroll,,,,,,,,,,,,,,
,,,,,22,Yuki Tsunoda,,,,,,,,,,,,,,
,,,,,31,Esteban Ocon,,,,,,,,,,,,,,
,,,,,33,Max Verstappen,,,,,,,,,,,,,,
,,,,,44,Lewis Hamilton,,,,,,,,,,,,,,
,,,,,47,Mick Schumacher,,,,,,,,,,,,,,
,,,,,55,Carlos Sainz,,,,,,,,,,,,,,
,,,,,63,George Russell,,,,,,,,,,,,,,
,,,,,77,Valtteri Bottas,,,,,,,,,,,,,,
,,,,,99,Antonio Giovinazzi,,,,,,,,,,,,,,